datetime,portfolio_value,cash,positions,return
2020-01-02 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2020-01-02 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-01-02 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-01-03 09:30:00-05:00,99631.09924316406,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",-0.003689007568359326
2020-01-04 09:30:00-05:00,99631.09924316406,24800.818389892578,"[{'asset': USD, 'quantity': 24800.818389892578}, {'asset': SPY, 'quantity': 233.0}]",0.0
2020-01-04 09:29:00-05:00,99631.09924316406,24800.818389892578,"[{'asset': USD, 'quantity': 24800.818389892578}, {'asset': SPY, 'quantity': 233.0}]",0.0
2020-01-06 08:30:00-05:00,99474.98611450195,24800.818389892578,"[{'asset': USD, 'quantity': 24800.818389892578}, {'asset': SPY, 'quantity': 233.0}]",-0.0015669116355033763
2020-01-06 09:30:00-05:00,99474.98611450195,24800.818389892578,"[{'asset': USD, 'quantity': 24800.818389892578}, {'asset': SPY, 'quantity': 233.0}]",0.0
2020-01-06 09:30:00-05:00,99474.98611450195,24800.818389892578,"[{'asset': USD, 'quantity': 24800.818389892578}, {'asset': SPY, 'quantity': 233.0}]",0.0
2020-01-07 09:30:00-05:00,100163.1457824707,12301.708770751953,"[{'asset': USD, 'quantity': 12301.708770751953}, {'asset': SPY, 'quantity': 272.0}]",0.0069179167029651545
2020-01-08 09:30:00-05:00,100139.8696899414,6164.3289794921875,"[{'asset': USD, 'quantity': 6164.3289794921875}, {'asset': SPY, 'quantity': 291.0}]",-0.00023238180418017063
2020-01-09 09:30:00-05:00,101109.09005737305,2934.928955078125,"[{'asset': USD, 'quantity': 2934.928955078125}, {'asset': SPY, 'quantity': 301.0}]",0.009678666153976279
2020-01-10 09:30:00-05:00,101453.74154663086,1630.2889404296875,"[{'asset': USD, 'quantity': 1630.2889404296875}, {'asset': SPY, 'quantity': 305.0}]",0.0034087092373420447
2020-01-11 09:30:00-05:00,101453.74154663086,975.7089233398438,"[{'asset': USD, 'quantity': 975.7089233398438}, {'asset': SPY, 'quantity': 307.0}]",0.0
2020-01-11 09:29:00-05:00,101453.74154663086,975.7089233398438,"[{'asset': USD, 'quantity': 975.7089233398438}, {'asset': SPY, 'quantity': 307.0}]",0.0
