datetime,portfolio_value,cash,positions,return
2020-01-02 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2020-01-02 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-01-02 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-01-03 09:30:00-05:00,99631.09924316406,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",-0.003689007568359326
2020-01-04 09:30:00-05:00,99631.09924316406,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",0.0
2020-01-04 09:25:00-05:00,99631.09924316406,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",0.0
2020-01-06 08:30:00-05:00,99527.24716186523,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",-0.001042366109455073
2020-01-06 09:30:00-05:00,99527.24716186523,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",0.0
2020-01-06 09:30:00-05:00,99527.24716186523,49851.29867553711,"[{'asset': USD, 'quantity': 49851.29867553711}, {'asset': SPY, 'quantity': 155.0}]",0.0
2020-01-07 09:30:00-05:00,100116.7368774414,24853.07943725586,"[{'asset': USD, 'quantity': 24853.07943725586}, {'asset': SPY, 'quantity': 233.0}]",0.005922897823321227
2020-01-08 09:30:00-05:00,100119.7763671875,112391.49645996094,"[{'asset': USD, 'quantity': 112391.49645996094}, {'asset': SPY, 'quantity': -38.0}]",3.035945677898333e-05
2020-01-09 09:30:00-05:00,100680.05657958984,43928.21594238281,"[{'asset': USD, 'quantity': 43928.21594238281}, {'asset': SPY, 'quantity': 174.0}]",0.005596099319554293
2020-01-10 09:30:00-05:00,100952.38775634766,22075.495697021484,"[{'asset': USD, 'quantity': 22075.495697021484}, {'asset': SPY, 'quantity': 241.0}]",0.002704916802887647
2020-01-11 09:30:00-05:00,100952.38775634766,10947.63540649414,"[{'asset': USD, 'quantity': 10947.63540649414}, {'asset': SPY, 'quantity': 275.0}]",0.0
2020-01-11 09:25:00-05:00,100952.38775634766,10947.63540649414,"[{'asset': USD, 'quantity': 10947.63540649414}, {'asset': SPY, 'quantity': 275.0}]",0.0
